ad,senti,subj,sim
y,0.5881905498715843,0.3343550008420698,0.0711864406779661
y,0.5587651958931721,0.24740134479717812,0.05084745762711865
y,0.5933786444479215,0.37588822823762585,0.08537782139352307
y,0.4958333333333333,0.008333333333333333,0.0
n,0.556597866419295,0.2702251914751915,0.0778642936596218
y,0.619508427302545,0.43837579903756374,0.08958837772397095
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
y,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
n,,,
