# line index 1 : total data 수, line index 3부터 data
총 3052개
000id|content
00001|부모님 모시고 방문했어요 여의도파라곤이라 주차도 편했고 위치도 좋았습니다 룸형태라 프라이빗했고 나오는 음식 비주얼과 퀄리티도 모두 만족스러웠어요 부모님께 멋진 곳에서 맛있는 식사를 대접한것같아서 뿌듯하고 부모님도 정말 좋아하시네요 여의도 한식집 원탑입니다
00002|양 정말 푸짐하고 맛있었던 고방채 꼬막비빔밥 새우전 정식 먹었는데 2인분이 3인분같이 양 푸짐! 룸이라 프라이빗하게 식사할 수 있어서 더 좋은거 같아요~ 아늑하게 편아한 식사를 한 고방채!  맛있는 한끼였어요~
00003|문어 숙회랑 냉수육이 맛있을수있는 음식인지 처음알았어요!! 기대도안했던 어묵탕....맛있는어묵탕 처음먹어봐서 거의다먹고왔어요 유부가 고소해서 왤케맛있는지ㅠㅠ 뭉티기는 고기색도 찐한 빨강으로 간만에 맛있는 육회랑함께먹어서 너무 좋았습니다! 진심 모든메뉴가 왜 이가격인지 말해주는곳이네요 맛있었어요!
00004|여기는 부모님 모시고 꼭 가보세요~^^ 프라이빗한 룸에서 친구들과 편히 수다떨면서 맛난 수라상 맛보고왔어요~^^ 직원부들도 친절하시고 먹기좋게 손질까지 가성비좋고 연말모임은 무조건 여기네요
00005|아주아주 맛있게 잘 먹었습니다. 직장 동료 들과 거하게 먹고 갑니다. 역시 고방채 2호점 최고에요! 다음에도 또 방문 하겠습니다. 여의도하면 역시 고방채! 최고!!!
00006|가족모임으로 갔는데 너무 좋았어요! 룸도 적당히 넓고 깨끗하고, 음식도 다 너무 맛있었습니다!!!! 가격도 이정도면 정말 합리적인 것 같아요 부모님도 너무 만족스러워하셨던 식사였어요! 잘 먹었습니다 
00007|너무 정갈하고 맛있었습니다  조만간 디너에 친구들과 또 방문하겠습니다
00008|단독룸이라 회삭, 비즈니시미팅, 가족 모임하기 좋아요. 가마솥 전복죽 먹었는데 전복죽도 맛있지만 다른 반찬 구성도 신선하고 풍성합니다. 귀중한 사람과 식사할 때 추천드립니다.
00009|자주 오는 식당이어요. 내일도 옵니다. 맛있어요! 솥밥의 밥이 촉촉하고 맛나요^^
00010|여의도를 중심으로 모던한식을 추구하는 고방채  육회와 뭉티기, 냉편육모두 보여지는 것 이상으로 맛이 좋고, 음식 하나하나가 보기에 좋은것이 맛도 좋다는 인식을 가지게 한다.  룸이 많아서 격식있는 저녁자리를 가지기에 좋은곳!
